name,latitude,longitude,type
Eunandy Learning Center,5.541110,5.769594,school
Mount Horeb Schools,5.540995,5.769764,school
New Life School,5.563553,5.770261,school
Maryland Group of Schools,5.568954,5.763191,school
Blessed Hope School,5.562688,5.752256,school
Ascension Intl. School,5.555481,5.774995,school
Seat of Wisdom Model School,5.562911,5.751136,school
Glorious Kid Academy,5.554220,5.777734,school
Fortress Intl. School,5.535741,5.763561,school
God's Favour School,5.590633,5.707219,school
Peniel Mission School,5.535360,5.764596,school
White-Dove Group of Schools,5.535206,5.765242,school
Climax Intl. School,5.592610,5.708467,school
Blueville County Schools,5.562593,5.778291,school
Glorious Kiddies School,5.565553,5.781604,school
Riser Nursery and Primary School,5.566477,5.783078,school
Precious Height Academy,5.590008,5.709798,school
Riser Playground,5.566333,5.782872,school
Powell School,5.566437,5.781282,school
Chosenlight Academy,5.565437,5.782685,school
Kamit Schools,5.566953,5.779010,school
Souls Harvester Schools,5.539145,5.758816,school
Royal Springfield Intl. School,5.539707,5.759579,school
Izisco Obos,5.536736,5.758595,school
Ejiro Schools,5.536445,5.760869,school
Best Foundation Nur and Pri School,5.537186,5.758149,school
Palace School,5.536448,5.758402,school
Twinkle Star School,5.533325,5.763918,school
Agbarha Primary School,5.535388,6.072357,school
Dynamic Schools,5.537190,5.760691,school
Future Glory School,5.539223,5.754203,school
Gloryland Academy,5.538192,5.760131,school
Top Nursery and Primary School,5.536949,5.760757,school
Zicla Intl. School,5.542577,5.765090,school
Ericbrain Schools,5.533815,5.761445,school
Sure Success Group of Schools,5.536560,5.755324,school
Christ the Redeemer's Prime Seed High School,5.542098,5.765585,school
Christ the Redeemer's Primeseed Scho,5.542492,5.764386,school
Winners Schools,5.538468,5.754495,school
Godstime Nursery and Primary School,5.536504,5.753342,school
Peak Extra Moral Lesson,5.537017,5.751780,school
Rolu Group of Schools,5.533228,5.751228,school
Unity Life Nusary and Primary School,5.535571,5.753900,school
Iris School,5.536871,5.749403,school
Montessori International School,5.539578,5.748819,school
Brisco Schools,5.537720,5.749418,school
New Creation Baptist Nur and Pri School,5.537183,5.749251,school
Compos Mentis Intl. School,5.538118,5.749232,school
Salvation Model Nursery and Primary School,5.531447,5.745317,school
Aunty Pat School,5.531283,5.745145,school
Holy Family Schools,5.541091,5.750835,school
Prevailing Word Group of Schools,5.535104,5.750891,school
Kefe Academy,5.531704,5.754971,school
Ighogbadu Primary School,5.532457,5.758263,school
Bright Hope Schools,5.532494,5.753449,school
Alphameric Schools,5.530456,5.752235,school
Hillfield International Schools,5.530644,5.754009,school
Flomatry Intl. Group of Schools,5.533747,5.748061,school
Eagle West School,5.530010,5.747697,school
Genesis International School,5.530642,5.751616,school
Messiah African Church Group of Schools,5.530283,5.745346,school
St. Augustine Schools,5.531723,5.757365,school
Royal Exams Preparatory Class,5.531511,5.757151,school
Avenue Baptist School,5.529865,5.750408,school
Divine Victory School,5.532955,5.756543,school
Springwell School,5.535452,5.757358,school
Aunty Mercy Blessed School,5.528931,5.758031,school
Magic Touch schools,5.530240,5.756739,school
Royal Day Care,5.529374,5.753624,school
Ford,5.531724,5.751217,school
Sure Success School,5.528606,5.751321,school
Doxaville School,5.531845,5.749094,school
Cerry-Fort Group of Schools,4.828220,7.063073,school
Favour International Schools,4.843373,7.063954,school
Good Shepard Academy,4.817727,7.065750,school
Open Doors International School,4.817189,7.058961,school
Amaris Nursery and Primary School,4.817694,7.065900,school
Cherry Forth Daycare Nur and Pri School,4.827830,7.063142,school
The Kiib School,4.834754,7.028147,school
Matville School,4.833982,7.028058,school
Active Brains International Academy,4.831495,7.027350,school
,10.075775,4.715971,school
,10.075695,4.716166,school
,10.075117,4.716109,school
,10.075294,4.716159,school
Lifetop Intl. School,4.832795,7.027293,school
International Unity School,4.838906,7.030983,school
Bishop Crowther Memorial Schools,4.836638,7.029762,school
Liberation Model Nursery and Primary School,4.834717,7.027653,school
Pleasant Places,4.837179,7.027334,school
Aries Montessori School,4.827113,7.047566,school
Crestonville Elementary,4.838289,7.033402,school
EDS Exceptional Diamond School,4.821549,7.052260,school
Greenwood International Nusery and Primary School,4.834158,7.030908,school
Tower Gate Montessori School,4.833660,7.032436,school
Great Learners International School,4.820854,7.052408,school
Unique Fountain Academy,4.837598,7.033885,school
State Primary School,4.828552,7.038276,school
Janice International School,4.819997,7.050885,school
Santa Maria Child Development Centre,4.838945,7.044692,school
State Primary School,4.837409,7.046569,school
Eulex Educational Center,4.838603,7.045409,school
School Women Primary-Secondary,11.815793,13.140278,school
Mara Imul Iman - Islamic School,11.811551,13.142115,school
Mara Imul Iman - Islamic School,11.806158,13.152129,school
,11.830055,13.153222,school
Mala Kachallah Model School,11.841280,13.155565,school
,11.840473,13.163665,school
,11.826577,13.171839,school
Central Primary School,11.219496,13.782651,school
Universal basic dducation junior,11.218469,13.783517,school
St Peter Ojuolape,7.447377,4.030639,school
ODIA PRIMARY SCHOOL,6.283590,5.567733,school
Community Secondary School,5.017407,6.394984,school
State School Olodi Primary School,5.526333,5.757272,school
Eagles Height International School,5.529388,5.733349,school
First view Schools,5.507728,5.831676,school
St. Theresa 's Group of Schools,5.507854,5.831384,school
Okaka Primary School,5.507129,5.831122,school
Excellent Montessori School,4.858659,6.967675,school
Royal Step International School,4.855752,6.972364,school
AIRFORCE SCHOOL,7.388260,3.970010,school
"Armed Forces Command and Staff College Secondary School, Jaji.",10.842823,7.560993,school
St. Patrick primary School Iyamoyong,5.971618,8.358294,school
Baptist College of Theology,5.416948,6.948117,school
Wayage Primary School,13.540454,4.843208,school
St. Peter's Government Elementary School,7.492648,4.556148,school
Oranmiyan Grammar School,7.494076,4.553075,school
Community Primary School,4.959446,6.364371,school
Giweo,4.924792,6.922090,school
Mountain Top University,6.730797,3.414299,school
NASFTS Buni Yadi,11.244601,12.013750,school
Rimai Model Primary School,12.320502,7.862852,school
Kafin Soli Primary School,12.503002,7.740057,school
Mafoni liberty Primary School,11.804309,13.139272,school
Maiduguri International Scholl,11.805569,13.139629,school
Mafoni Liberty Junior Secondary School,11.805568,13.135678,school
CPS Ndiofutu Echara Ikwo,6.165570,8.298572,school
Rumuokwachi Primary School,4.862025,6.928609,school
Intelligentia Graden sch,4.864561,6.928665,school
Gojehota High School,4.865431,6.932131,school
,8.314749,6.586398,school
Folk Technical college Ikwo,6.155031,8.144583,school
,6.156711,8.135329,school
"Central Primary School,Baganje",9.846987,11.178971,school
,7.667007,6.701576,school
Ibinola primary school,9.896046,11.222410,school
Saint Saviours High School,6.538357,3.259858,school
Civil Engineering Hydraulic Basin,6.519420,3.397220,school
Distance Learning Institute,6.511912,3.392659,school
Queen Maris Group of Schools,6.532362,3.262341,school
Al-muhibbah Islamic academy,10.590636,7.473869,school
"DSPG, Campus C",6.203752,6.553126,school
"DSPG, Campus B",6.203281,6.547563,school
Okuokoko School,5.579190,5.824217,school
"Delta State Polytechnic, Ogwashi-Uku",6.224829,6.571360,school
School of Postgraduate Studies FUD,11.726565,9.363230,school
Victory College,7.534597,5.768448,school
Lennon Jubilee High school.,7.532746,5.766323,school
Obeledu Community Secondary School,6.072538,7.019332,school
"Central Primary School, Obeledu",6.084464,7.021945,school
Uniport,4.899663,6.903959,school
Raftjone International School,6.382766,5.679902,school
Ahiara Technical College (ATC) Nnarambia,5.525219,7.262114,school
Central school Nnarambia,5.524146,7.262974,school
St Brigid primary & nursery school,5.522776,7.265189,school
Umuezie Community Primary School,5.494596,7.196712,school
"Unity School, Ejigbo",7.888511,4.322380,school
GSS Kachia,9.881398,7.957553,school
St. John's Secondary Kachia,9.894928,7.951385,school
St. John's Primary Kachia,9.893707,7.951943,school
St. John's Hall,9.893348,7.952801,school
"Baptist High School, Ejigbo",7.896912,4.319421,school
"Windsor Locks School, Kingston Estate",9.091759,7.377686,school
Independence Layout Sec. School,6.432979,7.522475,school
Maryland Catholic Nursery and Primary School,8.158980,4.248019,school
Nigerian Baptist Theological Seminary,8.132355,4.232497,school
ZOE School,8.154086,4.255027,school
Kingdom Heritage Model School,8.164312,4.257713,school
Anglican Model College Ogbomoso (AMCO),8.142257,4.241759,school
Ogbomoso Girl's High School,8.160543,4.245430,school
Bowen School of Nursing,8.135791,4.234967,school
ADS Primary School,8.142825,4.252833,school
