name,latitude,longitude,type
"Staford House Nursery and Primary School","5.5450292","5.7819279","school"
"Graceville Nus and primary School","5.5542772","5.7771851","school"
"Perpetual Nursery and Primary School","5.5598314","5.7768252","school"
"Rutero Model School","5.5932679","5.7070212","school"
"Ori","5.5552726","6.3434433","school"
"Madonna Model School","5.5433207","5.7382853","school"
"Great Grace","5.5434716","5.7378912","school"
"Luther Academy","5.5648004","5.7722510","school"
"Reigners Academy","5.5655810","5.7723291","school"
"Nobel Stride Schools","5.5624255","5.7734615","school"
"Matthias Intl. Academy","5.5848892","5.7119766","school"
"Unique Intl. School","5.5658898","5.7742788","school"
"Christ the King Schools","5.5631807","5.7728988","school"
"Aunty Gold's Christian Academy","5.5662887","5.7724715","school"
"Maryland Intl. School","5.5663768","5.7776618","school"
"Rojoe Academy","5.5677471","5.7729163","school"
"Maxim Schools","5.5630927","5.7752737","school"
"Highhills","5.5482785","5.7746372","school"
"Maranatta Schools","5.5442044","5.7709799","school"
"Brainville Intl. School","5.5399842","5.7718496","school"
"Divine Grace Schools","5.5398546","5.7726659","school"
"Brianville Intl. School","5.5391456","5.7724961","school"
"Children Foundation Nur and Pri School","5.5407751","5.7704119","school"
"Eunandy Learning Center","5.5411098","5.7695943","school"
"Mount Horeb Schools","5.5409949","5.7697640","school"
"New Life School","5.5635531","5.7702607","school"
"Maryland Group of Schools","5.5689543","5.7631910","school"
"Blessed Hope School","5.5626878","5.7522555","school"
"Ascension Intl. School","5.5554808","5.7749953","school"
"Seat of Wisdom Model School","5.5629114","5.7511356","school"
"Glorious Kid Academy","5.5542199","5.7777338","school"
"Fortress Intl. School","5.5357407","5.7635609","school"
"God's Favour School","5.5906327","5.7072193","school"
"Peniel Mission School","5.5353603","5.7645965","school"
"White-Dove Group of Schools","5.5352061","5.7652423","school"
"Climax Intl. School","5.5926103","5.7084667","school"
"Blueville County Schools","5.5625926","5.7782914","school"
"Glorious Kiddies School","5.5655530","5.7816037","school"
"Riser Nursery and Primary School","5.5664772","5.7830780","school"
"Precious Height Academy","5.5900078","5.7097985","school"
"Riser Playground","5.5663331","5.7828720","school"
"Powell School","5.5664369","5.7812816","school"
"Chosenlight Academy","5.5654367","5.7826854","school"
"Kamit Schools","5.5669534","5.7790102","school"
"Souls Harvester Schools","5.5391453","5.7588162","school"
"Royal Springfield Intl. School","5.5397075","5.7595790","school"
"Izisco Obos","5.5367358","5.7585954","school"
"Ejiro Schools","5.5364451","5.7608686","school"
"Best Foundation Nur and Pri School","5.5371865","5.7581490","school"
"Palace School","5.5364479","5.7584024","school"
"Twinkle Star School","5.5333248","5.7639176","school"
"Agbarha Primary School","5.5353878","6.0723567","school"
"Dynamic Schools","5.5371896","5.7606912","school"
"Future Glory School","5.5392229","5.7542032","school"
"Gloryland Academy","5.5381921","5.7601315","school"
"Top Nursery and Primary School","5.5369489","5.7607573","school"
"Zicla Intl. School","5.5425771","5.7650897","school"
"Ericbrain Schools","5.5338146","5.7614452","school"
"Sure Success Group of Schools","5.5365603","5.7553244","school"
"Christ the Redeemer's Prime Seed High School","5.5420980","5.7655849","school"
"Christ the Redeemer's Primeseed Scho","5.5424917","5.7643858","school"
